,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DESCRICAO,DESCRICAO HISTORICO,CODIGO CENSUP,CODIGO EMEC,CODIGO SISTEC,CODIGO EDUCACENSO,ANO LETIVO,PERIODO LETIVO,DATA INICIO,DATA FIM,ATIVO,POSSUI ALUNO CURSANDO,CODIGO,NATUREZA PARTICIPACAO,MODALIDADE,AREA,EIXO,AREA CAPES,PERIODICIDADE,EXIGE ENADE,EXIGE COLACAO GRAU,EMITE DIPLAMA,AREA CONCENTRACAO,PROGRAMA,DIRETORIA,COORDENADOR,NUMERO PORTARIA COORDENADOR,TITULO CERTIFICADO MASCULINO,TITULO CERTIFICADO FEMININO,INCONSISTENCIAS
2287,Crônicas do Fogo e do Gelo,Crônicas do Fogo e do Gelo,-,-,-,-,2024,1,01/03/2024,-,Sim,Não,CBT05,Semipresencial,FIC,-,"Turismo, Hospitalidade e Lazer",-,3,Não,Não,Sim,-,-,DRG/CBT (CEX),Thiago Rodrigues Schulze (2143693),-,Crônicas do Fogo e do Gelo,Crônicas do Fogo e do Gelo,
2311,Português como Língua Adicional - Módulo I,Português como Língua Adicional - Módulo I,-,-,-,-,2024,1,12/02/2024,-,Sim,Não,SLT035,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SLT (CEX),Ed Alencar Dias da Silva (1643606),-,Português como Língua Adicional - Módulo I,Português como Língua Adicional - Módulo I,
2312,Instalação de Sistemas fotovoltaicos,Instalação de Sistemas fotovoltaicos,-,-,-,-,2024,1,11/03/2024,-,Sim,Sim,HTO040,Semipresencial,FIC,-,Produção Industrial,-,3,Não,Não,Sim,-,-,DRG/HTO (CEX),Rogerio Vani Jacomini (2067179),-,Instalação de Sistemas fotovoltaicos,Instalação de Sistemas fotovoltaicos,
2313,Hortas em ambientes urbanos: faça você mesmo,Hortas em ambientes urbanos: faça você mesmo,-,-,-,-,2024,1,25/03/2024,-,Sim,Não,ITP028,EaD,FIC,-,Produção Alimentícia,-,3,Não,Não,Sim,-,-,DRG/ITP (CEX),Vicente Pereira de Barros (1659369),-,Hortas em ambientes urbanos: faça você mesmo,Hortas em ambientes urbanos: faça você mesmo,
2314,Fundamentos de Geoprocessamento,Fundamentos de Geoprocessamento,-,-,-,-,2024,1,21/02/2024,-,Sim,Não,PEP021,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/PEP (CEX),Lucas Onofre (1222935),-,Fundamentos de Geoprocessamento,Fundamentos de Geoprocessamento,
2315,Espanhol pré- intermediário II,Espanhol pré- intermediário II,-,-,-,-,2024,1,14/03/2024,-,Sim,Não,HTO041,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/HTO (CEX),Gabriel Leopoldino dos Santos (2315075),-,Espanhol pré- intermediário II,Espanhol pré- intermediário II,
2317,Italiano pré- intermediário I,Italiano pré- intermediário I,-,-,-,-,2024,1,12/03/2024,-,Sim,Não,HTO042,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/HTO (CEX),Samuel Vinente da Silva Junior (1190797),-,Italiano pré- intermediário I,Italiano pré- intermediário I,
2318,Liderança e Gestão de Equipes,Liderança e Gestão de Equipes,-,-,-,-,2024,1,20/01/2024,-,Sim,Não,CMP014,Presencial,FIC,-,Gestão e Negócios,-,3,Não,Não,Sim,-,-,DRG/CMP (CEX),Rosane Beltrao da Cunha Carvalho (2275699),-,Liderança e Gestão de Equipes,Liderança e Gestão de Equipes,
2319,Espanhol Básico I EaD,Espanhol Básico I EaD,-,-,-,-,2024,1,07/02/2024,-,Sim,Sim,BTV029,EaD,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BTV (CEX),Felipe Ferreira de Lara (2161727),-,Espanhol Básico I EaD,Espanhol Básico I EaD,
2320,Resolução de Problemas Matemáticos,Resolução de Problemas Matemáticos,-,-,-,-,2024,1,07/02/2024,-,Sim,Não,BTV030,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BTV (CEX),Felipe Ferreira de Lara (2161727),-,Resolução de Problemas Matemáticos,Resolução de Problemas Matemáticos,
2321,Metrologia Básica,Metrologia Básica,-,-,-,-,2024,1,09/02/2024,-,Sim,Não,BTV031,Presencial,FIC,-,Educação,-,3,Não,Não,Sim,-,-,DRG/BTV (CEX),Felipe Ferreira de Lara (2161727),-,Metrologia Básica,Metrologia Básica,
2322,"Ciência, Tecnologia e Sociedade","Ciência, Tecnologia e Sociedade",-,-,-,-,2024,1,04/03/2024,-,Sim,Não,ITP029,EaD,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/ITP (CEX),Felipe Ferreira de Lara (2161727),-,"Ciência, Tecnologia e Sociedade","Ciência, Tecnologia e Sociedade",
2323,Comunicação básica em língua inglesa II,Comunicação básica em língua inglesa II,-,-,-,-,2024,1,12/03/2024,-,Sim,Não,HTO044,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/HTO (CEX),Graziela Rocha Reghini Ramos (2334996),-,Comunicação básica em língua inglesa II,Comunicação básica em língua inglesa II,
2324,Espanhol Intermediário I,Espanhol Intermediário I,-,-,-,-,2024,1,19/02/2024,-,Sim,Não,SPO046,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SPO (CEX),Rosangela Bagnoli Ovidio (2098041),-,Espanhol Intermediário I,Espanhol Intermediário I,
2325,Inglês Básico II,Inglês Básico II,-,-,-,-,2024,1,22/02/2024,-,Sim,Não,SPO047,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SPO (CEX),Rosangela Bagnoli Ovidio (2098041),-,Inglês Básico II,Inglês Básico II,
2326,Comunicação Básica em Língua Inglesa I,Comunicação Básica em Língua Inglesa I,-,-,-,-,2024,1,20/02/2024,-,Sim,Sim,SPO048,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SPO (CEX),Caio Cabral da Silva (2146617),4343/2024,Comunicação Básica em Língua Inglesa I,Comunicação Básica em Língua Inglesa I,
2327,Grammar for business - Gramática da língua inglesa para a área de negócios,Grammar for business - Gramática da língua inglesa para a área de negócios,-,-,-,-,2024,1,21/02/2024,-,Sim,Sim,SPO049,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SPO (CEX),Caio Cabral da Silva (2146617),4343/2024,Grammar for business - Gramática da língua inglesa para a área de negócios,Grammar for business - Gramática da língua inglesa para a área de negócios,
2328,Introdução à Programação de Computadores Utilizando Python (presencial),Introdução à Programação de Computadores Utilizando Python (presencial),-,-,-,-,2024,1,02/04/2024,-,Sim,Não,GRU059,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/GRU (CEX),Joao Alves Pacheco (2274487),-,Introdução à Programação de Computadores Utilizando Python (presencial),Introdução à Programação de Computadores Utilizando Python (presencial),
2329,Introdução à Inteligência Artificial (EAD),Introdução à Inteligência Artificial (EAD),-,-,-,-,2024,1,19/02/2014,-,Sim,Não,GRU060,EaD,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/GRU (CEX),Joao Alves Pacheco (2274487),-,Introdução à Inteligência Artificial (EAD),Introdução à Inteligência Artificial (EAD),
2331,Educação em Direitos Humanos,Educação em Direitos Humanos,-,-,-,-,2024,1,14/03/2024,-,Sim,Não,HTO043,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/HTO (CEX),Samuel Vinente da Silva Junior (1190797),-,Educação em Direitos Humanos,Educação em Direitos Humanos,
2333,Fundamentos de Redes de Computadores,Fundamentos de Redes de Computadores,-,-,-,-,2024,1,19/02/2024,-,Sim,Não,GRU061,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/GRU (CEX),Joao Alves Pacheco (2274487),-,Fundamentos de Redes de Computadores,Fundamentos de Redes de Computadores,
2334,"""EntrePontos Femininos - Corte e Costura para Mulheres""","""EntrePontos Femininos - Corte e Costura para Mulheres""",-,-,-,-,2024,1,01/03/2024,-,Sim,Não,SLT036,Presencial,FIC,-,Produção Industrial,-,3,Não,Não,Sim,-,-,DRG/SLT (CEX),Cathia Alves (2161624),-,"""EntrePontos Femininos - Corte e Costura para Mulheres""","""EntrePontos Femininos - Corte e Costura para Mulheres""",
2335,Introdução à Programação em Python,Introdução à Programação em Python,-,-,-,-,2024,1,25/03/2024,-,Sim,Não,SRT089,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SRT (CEX),Livia Maria Lovato (1815713),-,Introdução à Programação em Python,Introdução à Programação em Python,
2336,Introdução à escrita criativa,Introdução à escrita criativa,-,-,-,-,2024,1,01/03/2024,-,Sim,Não,SRT090,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SRT (CEX),Livia Maria Lovato (1815713),-,Introdução à escrita criativa,Introdução à escrita criativa,
2337,Formação Política para jovens líderes,Formação Política para jovens líderes,-,-,-,-,2024,1,01/03/2024,-,Sim,Não,SRT091,Semipresencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SRT (CEX),Livia Maria Lovato (1815713),-,Formação Política para jovens líderes,Formação Política para jovens líderes,
2338,SolidWorks - Básico,SolidWorks - Básico,-,-,-,-,2024,1,01/03/2024,-,Sim,Não,SRT092,Presencial,FIC,-,Produção Industrial,-,3,Não,Não,Sim,-,-,DRG/SRT (CEX),Livia Maria Lovato (1815713),-,SolidWorks - Básico,SolidWorks - Básico,
2339,Cuidadora de Pessoas Idosas,Cuidadora de Pessoas Idosas,-,-,-,-,2024,1,01/04/2024,-,Sim,Não,SRT088,Presencial,FIC,-,Ambiente e Saúde,-,3,Não,Não,Sim,-,-,DRG/SRT (CEX),Jeniffer Fernanda Reis Galdiano (2037324),-,Cuidadora de Pessoas Idosas,Cuidadora de Pessoas Idosas,
2340,Petiscos de boteco,Petiscos de boteco,-,-,-,-,2024,1,19/02/2024,-,Sim,Não,CTD046,Presencial,FIC,-,Produção Alimentícia,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Petiscos de boteco,Petiscos de boteco,
2341,Experimentação com Materiais de baixo custo para Professores de Ciências,Experimentação com Materiais de baixo custo para Professores de Ciências,-,-,-,-,2024,1,23/02/2024,-,Sim,Não,ITP030,EaD,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/ITP (CEX),Vicente Pereira de Barros (1659369),-,Experimentação com Materiais de baixo custo para Professores de Ciências,Experimentação com Materiais de baixo custo para Professores de Ciências,
2342,Desmistificando a Alimentação: introdução a conceitos de Nutrição e Saúde,Desmistificando a Alimentação: introdução a conceitos de Nutrição e Saúde,-,-,-,-,2024,1,05/02/2024,-,Sim,Não,CTD047,Presencial,FIC,-,Produção Alimentícia,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Desmistificando a Alimentação: introdução a conceitos de Nutrição e Saúde,Desmistificando a Alimentação: introdução a conceitos de Nutrição e Saúde,
2344,Formação e qualificação de professores para a Cultura Maker,Formação e qualificação de professores para a Cultura Maker,-,-,-,-,2024,1,29/02/2024,-,Sim,Não,ITP031,EaD,FIC,-,Produção Cultural e Design,-,3,Não,Não,Sim,-,-,DRG/ITP (CEX),Vicente Pereira de Barros (1659369),-,Formação e qualificação de professores para a Cultura Maker,Formação e qualificação de professores para a Cultura Maker,
2345,Autoeducação e Autoconhecimento - como estudar melhor,Autoeducação e Autoconhecimento - como estudar melhor,-,-,-,-,2024,1,19/02/2024,-,Sim,Sim,PRC0032,EaD,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/PRC (CEX),Lilian Marques Pino (1736491),-,Autoeducação e Autoconhecimento - como estudar melhor,Autoeducação e Autoconhecimento - como estudar melhor,
2346,Programação para crianças e adolescentes,Programação para crianças e adolescentes,-,-,-,-,2024,1,19/02/2024,-,Sim,Sim,PRC0033,EaD,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/PRC (CEX),Lilian Marques Pino (1736491),-,Programação para crianças e adolescentes,Programação para crianças e adolescentes,
2347,As religiões e religiosidades do Brasil,As religiões e religiosidades do Brasil,-,-,-,-,2024,1,10/02/2024,-,Sim,Sim,RGT019,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/RGT (CEX),Ernani Jose Fortunato Lisboa Enke (2753773),-,As religiões e religiosidades do Brasil,As religiões e religiosidades do Brasil,
2349,O que é marxismo?,O que é marxismo?,-,-,-,-,2024,1,09/03/2024,-,Sim,Não,CPV087,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/CPV (CEX),Gustavo Baptistella Leite da Silva (2105688),-,O que é marxismo?,O que é marxismo?,
2351,Empreendedorismo: Como elaborar um plano de negócios,Empreendedorismo: Como elaborar um plano de negócios,-,-,-,-,2024,1,09/03/2024,-,Sim,Não,CPV089,Presencial,FIC,-,Gestão e Negócios,-,3,Não,Não,Sim,-,-,DRG/CPV (CEX),Gustavo Baptistella Leite da Silva (2105688),-,Empreendedorismo: Como elaborar um plano de negócios,Empreendedorismo: Como elaborar um plano de negócios,
2352,Automação Pneumática,Automação Pneumática,-,-,-,-,2024,1,11/03/2024,-,Sim,Não,SOR039,Presencial,FIC,-,Produção Industrial,-,3,Não,Não,Sim,-,-,DRG/SOR (CEX),Andressa Rodrigues (3161560),-,Automação Pneumática,Automação Pneumática,
2353,Controlador lógico programável - básico,Controlador lógico programável - básico,-,-,-,-,2024,1,11/03/2024,-,Sim,Não,SOR040,Presencial,FIC,-,Produção Industrial,-,3,Não,Não,Sim,-,-,DRG/SOR (CEX),Andressa Rodrigues (3161560),-,Controlador lógico programável - básico,Controlador lógico programável - básico,
